what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397566065798
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397566077275
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397566081009
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1397566081033
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397566100841
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397566102622
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397566114084
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397566117986
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1397566118076
stopped,bundle,org.eclipse.mtj.jmunit,1.0.1.v200909181641,"org.eclipse.mtj.jmunit",1397566118597
stopped,bundle,jmunit.framework,1.2.1.v200909181641,"jmunit.framework",1397566118598
stopped,bundle,org.eclipse.mtj.toolkit.microemu,1.0.0.v200909181641,"org.eclipse.mtj.toolkit.microemu",1397566118599
stopped,bundle,org.eclipse.mtj.toolkit.mpowerplayer,1.0.0.v200909181641,"org.eclipse.mtj.toolkit.mpowerplayer",1397566118599
stopped,bundle,org.eclipse.mtj.toolkit.nokia,1.0.0.v200909181641,"org.eclipse.mtj.toolkit.nokia",1397566118600
stopped,bundle,org.eclipse.mtj.toolkit.uei,1.0.1.v200909181641,"org.eclipse.mtj.toolkit.uei",1397566118601
stopped,bundle,org.eclipse.mtj.eswt.templates,1.0.0.v200909181641,"org.eclipse.mtj.eswt.templates",1397566118602
stopped,bundle,org.eclipse.mtj.ui,1.1.0.v200909181641,"org.eclipse.mtj.ui",1397566118602
stopped,bundle,org.eclipse.mtj.core,1.1.0.v200909181641,"org.eclipse.mtj.core",1397566118604
stopped,bundle,com.collabnet.subversion.merge,2.0.1,"com.collabnet.subversion.merge",1397566118839
stopped,bundle,org.eclipse.cdt.launch.remote,2.2.0.201002161416,"org.eclipse.cdt.launch.remote",1397566118839
